issue_id,issue_number,repository,stars,language,title,scout_score,priority_score,comments_count,issue_url,created_at
12854,7408,adenhq/hive,7914,Python,[Bug]: quickbooks_create_invoice crashes on non-object line items,93.0,0.0,1,https://github.com/adenhq/hive/issues/7408,2026-09-05T08:07:41Z
13102,1164,sunlabuiuc/PyHealth,1478,Python,fix: add missing stacklevel=2 to warnings.warn() calls,93.0,0.0,0,https://github.com/sunlabuiuc/PyHealth/issues/1164,2026-06-20T17:14:44Z
14620,2571,scikit-bio/scikit-bio,1160,Python,"BUG: `rda` ignores `sample_ids`, `feature_ids` and `constraint_ids`",93.0,0.0,1,https://github.com/scikit-bio/scikit-bio/issues/2571,2026-09-06T18:44:43Z
14755,14328,Significant-Gravitas/AutoGPT,181875,Python,backend.util.truncate returns plain strings longer than size_limit,92.0,0.0,2,https://github.com/Significant-Gravitas/AutoGPT/issues/14328,2026-09-04T07:38:21Z
15824,3237,airbnb/javascript,148105,JavaScript,Severity: Unhandled promise rejection in `whitespace-async.js` when ESLint async path is used,92.0,0.0,6,https://github.com/airbnb/javascript/issues/3237,2026-03-05T19:18:03Z
408874,3069,airbnb/javascript,148105,JavaScript,[eslint-config-airbnb] `jsx-a11y/control-has-associated-label` config does not ignore `td` and `th` HTML elements,92.0,0.0,9,https://github.com/airbnb/javascript/issues/3069,2024-12-07T08:43:38Z
806475,42360,langgenius/dify,129802,TypeScript,Wrong country name in Display Language preference,92.0,0.0,1,https://github.com/langgenius/dify/issues/42360,2026-09-16T14:58:52Z
806480,42350,langgenius/dify,129802,TypeScript,"Custom API tool sends `true` for boolean request-body properties given the string ""false""",92.0,0.0,1,https://github.com/langgenius/dify/issues/42350,2026-09-16T11:54:07Z
407167,66033,nodejs/node,115826,JavaScript,util: `SuppressedError` should print `error`/`suppressed` properties during inspection,92.0,0.0,0,https://github.com/nodejs/node/issues/66033,2026-09-15T12:15:41Z
12973,11798,shadcn-ui/ui,106898,TypeScript,[bug]: Separator uses incorrect data attribute variants,92.0,0.0,0,https://github.com/shadcn-ui/ui/issues/11798,2026-09-05T02:18:44Z
13712,16307,Comfy-Org/ComfyUI,103607,Python,emit_cached_output at execution.py:818 doesn't pass merge flag for intermediate-output nodes,92.0,0.0,0,https://github.com/Comfy-Org/ComfyUI/issues/16307,2026-09-14T01:52:52Z
802838,197246,pytorch/pytorch,97576,Python,Windows SM89 xfail decorator incorrectly applies to ROCm,92.0,0.0,0,https://github.com/pytorch/pytorch/issues/197246,2026-09-16T13:16:11Z
405714,182310,home-assistant/core,84925,Python,xiaomi_ble: KeyError for ExtendedBinarySensorDeviceClass.STABILIZED on every Mi Body Composition Scale 2 advertisement,92.0,0.0,0,https://github.com/home-assistant/core/issues/182310,2026-09-15T11:46:41Z
14670,19567,infiniflow/ragflow,73409,Python,Embedding compatibility check returns an internal error for invalid check_num,92.0,0.0,1,https://github.com/infiniflow/ragflow/issues/19567,2026-09-12T19:35:43Z
805206,19744,infiniflow/ragflow,73409,Python,"PDF TOC removal: sectionTextPrefix slices bytes, not characters, so CJK TOC entries leak into chunks",92.0,0.0,0,https://github.com/infiniflow/ragflow/issues/19744,2026-09-16T14:13:18Z
27140,56850,vllm-project/vllm,70697,Python,[Bug]: Kimi K3 reasoning parser returns chain-of-thought as content when generation is truncated mid-think,92.0,0.0,0,https://github.com/vllm-project/vllm/issues/56850,2026-09-14T14:55:05Z
12638,287782,odoo/odoo,49070,Python,"[19.0] res.device: Chromium-based Edge (and Opera) reported as ""chrome"" — vendored useragents.py predates werkzeug's edg/opr rules",92.0,0.0,0,https://github.com/odoo/odoo/issues/287782,2026-09-11T08:24:11Z
805945,42157,RocketChat/Rocket.Chat,44660,TypeScript,fix: Base64.decode() silently produces corrupted output for invalid characters instead of throwing,92.0,0.0,0,https://github.com/RocketChat/Rocket.Chat/issues/42157,2026-09-16T05:33:38Z
13350,9187,videojs/video.js,39495,JavaScript,Bug: Race condition in handleTechSourceset_() async callback,92.0,0.0,0,https://github.com/videojs/video.js/issues/9187,2026-05-19T21:56:49Z
13855,4983,ManimCommunity/manim,36823,Python,`CurvesAsSubmobjects` error messages contain hardcoded class names,92.0,0.0,0,https://github.com/ManimCommunity/manim/issues/4983,2026-09-01T19:22:44Z
14561,1078,DavidHDev/react-bits,35925,JavaScript,[BUG]: ScrollVelocity Tailwind variants render 'undefined' class when parallaxClassName/scrollerClassName omitted,92.0,0.0,1,https://github.com/DavidHDev/react-bits/issues/1078,2026-09-13T14:18:30Z
12355,59039,frappe/erpnext,32110,Python,"Bank Statement Import: European decimal comma amounts parsed incorrectly (9,00 → 900)",92.0,0.0,3,https://github.com/frappe/erpnext/issues/59039,2026-09-12T21:33:18Z
805302,3204,github/awesome-copilot,21710,JavaScript,[Bug] Color Orb glow does not update for non-hex CSS colors,92.0,0.0,0,https://github.com/github/awesome-copilot/issues/3204,2026-09-15T20:55:07Z
15035,14652,onyx-dot-app/onyx,17485,Python,Slack bot form: no error shows when the error response is not JSON,92.0,0.0,0,https://github.com/onyx-dot-app/onyx/issues/14652,2026-09-11T20:09:47Z
15186,3523,modelscope/FunASR,14916,Python,"funasr_onnx: bare `raise ""string""` masks the real exception (TypeError: exceptions must derive from BaseException)",92.0,0.0,8,https://github.com/modelscope/FunASR/issues/3523,2026-08-22T16:06:11Z
408962,1012,LibreTranslate/LibreTranslate,13794,Python,/download_file bypasses the API-key/ban-list check every other route enforces,92.0,0.0,0,https://github.com/LibreTranslate/LibreTranslate/issues/1012,2026-09-15T07:31:11Z
14878,10370,streetwriters/notesnook,13695,TypeScript,Attachment downloads can get duplicate or missing extensions,92.0,0.0,0,https://github.com/streetwriters/notesnook/issues/10370,2026-09-12T02:36:28Z
12930,597,PKU-YuanGroup/Open-Sora-Plan,12131,Python,Command Injection via SLURM_NODELIST in Distributed Initialization,92.0,0.0,0,https://github.com/PKU-YuanGroup/Open-Sora-Plan/issues/597,2026-03-22T10:16:10Z
15595,9081,formbricks/formbricks,11851,TypeScript,Access-Control-Allow-Credentials: true alongside Allow-Origin: * on /api/*/client and /api/capture,92.0,0.0,2,https://github.com/formbricks/formbricks/issues/9081,2026-08-29T18:07:12Z
12535,7522,ariakit/ariakit,8530,TypeScript,Ariakit UI: DialogDismiss and PopoverDismiss treat null and false children as content,92.0,0.0,0,https://github.com/ariakit/ariakit/issues/7522,2026-09-14T09:26:33Z
12560,680,satnaing/astro-paper,4297,Astro,[BUG]: Build fails on Windows — 'cp' is not recognized as an internal or external command,92.0,0.0,0,https://github.com/satnaing/astro-paper/issues/680,2026-09-04T16:12:09Z
12276,1647,a11yproject/a11yproject.com,3850,Nunjucks,[Bug] 12 dead links in resources file,92.0,0.0,1,https://github.com/a11yproject/a11yproject.com/issues/1647,2026-04-15T14:28:24Z
12601,1073,jsx-eslint/eslint-plugin-jsx-a11y,3569,JavaScript,Missing `allowExpressionValues` option in schemas for `no-static-element-interactions` and `no-noninteractive-tabindex` rules,92.0,0.0,0,https://github.com/jsx-eslint/eslint-plugin-jsx-a11y/issues/1073,2026-02-03T08:36:00Z
13073,326,tcgoetz/GarminDB,2946,Python,"--latest never downloads today's date (off-by-one in date range), losing last night's sleep and HRV",92.0,0.0,0,https://github.com/tcgoetz/GarminDB/issues/326,2026-08-26T17:30:16Z
12813,2717,frappe/lms,2730,Vue,Audio blocks never render in lessons — `AudioBlock.vue` crashes with `Cannot set properties of null (setting 'onloadedmetadata')`,92.0,0.0,0,https://github.com/frappe/lms/issues/2717,2026-09-09T21:04:47Z
806039,6190,make-all/tuya-local,2716,Python,[Device Support] Add missing Product IDs for shinco_30d_dehumidifier,92.0,0.0,1,https://github.com/make-all/tuya-local/issues/6190,2026-09-16T06:46:48Z
12885,10433,medplum/medplum,2187,TypeScript,Use `getInternalFhirRouter` for async batch processing,92.0,0.0,0,https://github.com/medplum/medplum/issues/10433,2026-09-03T19:37:28Z
13099,1173,sunlabuiuc/PyHealth,1478,Python,fix: replace bare except clauses with specific exception types,92.0,0.0,0,https://github.com/sunlabuiuc/PyHealth/issues/1173,2026-07-02T01:29:18Z
14691,3394,input-output-hk/daedalus,1245,TypeScript,[FEATURE] Set an explicit font family on the DRep status badge,92.0,0.0,0,https://github.com/input-output-hk/daedalus/issues/3394,2026-08-30T14:12:44Z
13260,2678,compdemocracy/polis,1130,JavaScript,docs: CLAUDE.md and delphi/CLAUDE.md contain three factually incorrect claims,92.0,0.0,0,https://github.com/compdemocracy/polis/issues/2678,2026-07-27T22:13:13Z
12855,7406,adenhq/hive,7914,Python,[Bug]: subdomain_enumerate accepts non-positive max_results,91.0,0.0,3,https://github.com/adenhq/hive/issues/7406,2026-09-04T19:15:51Z
405509,13465,EbookFoundation/free-programming-books,383728,Python,The Django 101 - Introdução ao Django doesn't work,90.0,0.0,0,https://github.com/EbookFoundation/free-programming-books/issues/13465,2026-09-14T18:12:51Z
1419,11139,Significant-Gravitas/AutoGPT,181875,Python,Implement block to concatenate lists,90.0,0.2377,5,https://github.com/Significant-Gravitas/AutoGPT/issues/11139,2025-10-10T14:59:41Z
14749,14487,Significant-Gravitas/AutoGPT,181875,Python,String-to-set/tuple conversion splits strings into characters,90.0,0.0,1,https://github.com/Significant-Gravitas/AutoGPT/issues/14487,2026-09-10T07:43:10Z
407491,48818,huggingface/transformers,156702,Python,Gemma4 audio tower: attention mask inverted under eager attention (uniform attention regardless of content),90.0,0.0,2,https://github.com/huggingface/transformers/issues/48818,2026-09-15T08:07:53Z
15823,3238,airbnb/javascript,148105,JavaScript,No error handling around execSync + JSON.parse in whitespace.js (ESLint 9 path),90.0,0.0,8,https://github.com/airbnb/javascript/issues/3238,2026-03-05T19:18:49Z
13501,33243,ytdl-org/youtube-dl,139680,Python,Issue with latest Python 3.14,90.0,0.0,3,https://github.com/ytdl-org/youtube-dl/issues/33243,2026-01-27T16:41:37Z
1116,53867,nodejs/node,115826,JavaScript,test_runner: do not read from `process.argv` and `process.cwd()` in run(),90.0,0.1702,12,https://github.com/nodejs/node/issues/53867,2024-07-16T13:21:33Z
408139,36312,storybookjs/storybook,89269,TypeScript,[Documentation]: Explain `MSW` `StoryContext` type augmentation,90.0,0.0,0,https://github.com/storybookjs/storybook/issues/36312,2026-09-14T17:24:50Z
803186,182405,home-assistant/core,84925,Python,"sftp_storage Fails With ""Unable to import component""",90.0,0.0,1,https://github.com/home-assistant/core/issues/182405,2026-09-16T13:34:59Z
14671,19557,infiniflow/ragflow,73409,Python,[Bug] `book` chunk method silently drops the figure/table channel (PDF branch never assigns `tables` to `tbls`),90.0,0.0,0,https://github.com/infiniflow/ragflow/issues/19557,2026-09-11T17:29:17Z
805205,19751,infiniflow/ragflow,73409,Python,Go agent components misparse composite `llm_id` when the model name contains `@`,90.0,0.0,2,https://github.com/infiniflow/ragflow/issues/19751,2026-09-16T16:21:49Z
408676,56977,vllm-project/vllm,70697,Python,[Bug]: SpecDecodingStats.num_drafts counts requests whose drafts were all invalidated,90.0,0.0,1,https://github.com/vllm-project/vllm/issues/56977,2026-09-15T08:26:06Z
15221,34923,scikit-learn/scikit-learn,65150,Python,PolynomialCountSketch.bitHash_ docstring says dtype=float32 but is actually int64,90.0,0.0,3,https://github.com/scikit-learn/scikit-learn/issues/34923,2026-09-10T10:57:49Z
2548,7002,scrapy/scrapy,59812,Python,Cover `scrapy.extensions.memusage.MemoryUsage` with tests,90.0,0.1897,9,https://github.com/scrapy/scrapy/issues/7002,2025-08-09T09:36:21Z
2476,8548,prisma/prisma,45353,TypeScript,`prisma format` ends the file with a single CRLF on windows,90.0,0.0802,26,https://github.com/prisma/prisma/issues/8548,2021-08-02T22:34:44Z
15639,66142,ray-project/ray,41375,Python,[Data] Predicate pushdown across Limit silently changes limit().filter() results,90.0,0.0,0,https://github.com/ray-project/ray/issues/66142,2026-09-13T05:35:06Z
13346,9213,videojs/video.js,39495,JavaScript,Player#error() throws after the player is disposed,90.0,0.0,0,https://github.com/videojs/video.js/issues/9213,2026-07-13T10:27:33Z
954,3833,ManimCommunity/manim,36823,Python,License situation of library should be mentioned on landing page of documentation,90.0,0.2513,4,https://github.com/ManimCommunity/manim/issues/3833,2024-07-01T09:00:14Z
13414,38263,mattermost/mattermost,35375,TypeScript,[Bug]: reducers/plugins/index.ts:25 hasMenuId() returns early is the menu has no submenu,90.0,0.0,1,https://github.com/mattermost/mattermost/issues/38263,2026-09-01T17:59:31Z
13848,123,eriklindernoren/ML-From-Scratch,30843,Python,Regression,90.0,0.0,1,https://github.com/eriklindernoren/ML-From-Scratch/issues/123,2025-11-10T07:37:22Z
13854,109,eriklindernoren/ML-From-Scratch,30843,Python,scikit-learn instead of sklearn,90.0,0.0,0,https://github.com/eriklindernoren/ML-From-Scratch/issues/109,2024-11-20T08:36:02Z
14566,17243,community-scripts/ProxmoxVE,26271,Shell,[PVE Monitor-All] LXC containers mis-identified as templates and skipped,90.0,0.0,0,https://github.com/community-scripts/ProxmoxVE/issues/17243,2026-09-13T18:27:11Z
14769,3012,github/awesome-copilot,21710,JavaScript,[aw] Advanced Copilot CLI Content Sync has stale lock file,90.0,0.0,0,https://github.com/github/awesome-copilot/issues/3012,2026-09-10T14:45:53Z
14646,707,basarat/typescript-book,21495,TypeScript,Jest async example needs an await https://basarat.gitbook.io/typescript/intro-1/jest,90.0,0.0,1,https://github.com/basarat/typescript-book/issues/707,2025-07-06T12:46:54Z
15620,539,AsyncFuncAI/deepwiki-open,14350,Python,"uv.lock pins requests 2.32.3, below the 2.32.4 fix for CVE-2024-47081",90.0,0.0,1,https://github.com/AsyncFuncAI/deepwiki-open/issues/539,2026-06-24T11:14:52Z
1883,583,wasp-lang/open-saas,13403,TypeScript,Backticks on Roadmap on landing page are messed up,90.0,0.1846,10,https://github.com/wasp-lang/open-saas/issues/583,2025-11-27T17:07:27Z
14640,5707,mui/base-ui,8859,TypeScript,Change SelectValueType to accept readonly arrays,90.0,0.0,4,https://github.com/mui/base-ui/issues/5707,2026-09-11T08:34:18Z
15835,1470,idurar/idurar-erp-crm,8196,JavaScript,IDOR in /api/admin/password-update/:id Allows Any Admin to Take Over Any Other Admin Account,90.0,0.0,3,https://github.com/idurar/idurar-erp-crm/issues/1470,2026-07-01T13:55:19Z
12853,7409,adenhq/hive,7914,Python,[Bug]: port_scan reports out-of-range ports as closed,90.0,0.0,2,https://github.com/adenhq/hive/issues/7409,2026-09-05T08:58:51Z
12856,7403,adenhq/hive,7914,Python,[Bug]:  GraphSpec.validate() accepts entry points targeting missing nodes,90.0,0.0,7,https://github.com/adenhq/hive/issues/7403,2026-08-25T14:47:23Z
14806,238,Snouzy/workout-cool,7095,TypeScript,Bug: deleteWorkoutSessionAction has no auth/ownership check — any user can delete others sessions,90.0,0.0,0,https://github.com/Snouzy/workout-cool/issues/238,2026-07-07T16:46:41Z
12317,5344,dequelabs/axe-core,6923,JavaScript,Incomplete results have no message when a check omits `metadata.messages.incomplete`,90.0,0.0,0,https://github.com/dequelabs/axe-core/issues/5344,2026-09-08T12:56:41Z
14884,2934,unovue/reka-ui,6264,Vue,[Bug]: Drawer: initialFocus and finalFocus are declared and documented but never applied,90.0,0.0,0,https://github.com/unovue/reka-ui/issues/2934,2026-09-10T17:48:33Z
12342,738,pa11y/pa11y,4411,JavaScript,Improve logic and message around using a config file that does not exist,90.0,0.0,3,https://github.com/pa11y/pa11y/issues/738,2025-07-25T15:44:33Z
